date,hour,time_period,location,latitude,longitude,weather_condition,temperature_c,humidity_pct,wind_speed_kmh,visibility_km,rainfall_mm,congestion_pct,speed_kmh,is_weekend,road_type,is_junction,is_school_zone,flood_risk,risk_score,accident
2022-02-28,15,Night,Porur,13.03637,80.16051,Clear,26.6,53.4,12.7,10.4,0.0,54,30.6,0,Urban,1,0,0,61.2,0
2023-01-27,2,Early Morning,GST Road,12.96184,80.19914,Clear,29.8,67.7,14.4,10.4,0.0,34,54.2,0,Flyover,1,0,0,42.4,0
2022-02-05,2,Early Morning,Adyar,13.00566,80.25463,Clear,26.6,59.2,11.6,12.2,0.0,18,69.8,1,Coastal,1,0,0,36.0,0
2023-12-22,22,Night,Manali,13.16314,80.2618,Fog,31.7,64.2,5.5,0.4,0.0,52,42.5,0,Highway,1,1,0,61.6,0
2023-01-15,6,Night,GST Road,12.96746,80.1971,Clear,23.7,62.9,19.6,8.5,0.0,58,36.7,1,Arterial,0,0,0,46.2,0
2023-09-12,0,Early Morning,Tambaram,12.92349,80.13389,Fog,25.3,94.1,12.0,0.4,0.0,34,55.5,0,Flyover,1,0,0,53.5,0
2024-10-02,3,Early Morning,Porur,13.03471,80.16269,Heavy Rain,23.8,68.8,30.9,0.9,24.4,45,48.1,0,Highway,1,0,1,99.0,1
2022-04-20,4,Early Morning,OMR IT Corridor,12.92801,80.22451,Clear,38.6,47.6,6.5,14.5,0.0,22,64.0,0,Industrial,1,0,0,33.0,0
2023-04-08,16,Night,Velachery,13.00728,80.22388,Clear,37.8,54.2,13.2,10.0,0.0,31,65.7,1,Industrial,1,0,0,38.7,0
2023-03-02,20,Evening Peak,GST Road,12.96553,80.20569,Clear,21.0,52.2,11.9,6.7,0.0,100,5.0,0,Arterial,0,0,0,74.1,0
2023-08-20,1,Early Morning,GST Road,12.97154,80.19541,Light Rain,30.0,69.3,16.2,3.1,8.7,36,47.8,1,Industrial,1,1,0,64.0,0
2024-05-20,3,Early Morning,Poonamallee,13.04506,80.14917,Clear,32.9,53.0,4.6,7.3,0.0,8,75.7,0,Highway,0,0,0,13.8,0
2023-08-15,14,Afternoon,Kathipara,13.00539,80.21172,Fog,26.0,78.9,9.9,0.4,0.0,100,5.0,0,Industrial,0,0,0,72.3,1
2023-05-28,0,Early Morning,Kathipara,13.01066,80.20326,Clear,33.4,70.8,12.6,12.1,0.0,25,56.4,1,Highway,1,0,0,45.3,0
2023-07-06,18,Evening Peak,Anna Salai,13.06525,80.26388,Clear,24.8,53.3,19.9,7.6,0.0,100,5.0,0,Coastal,1,0,0,84.8,1
2023-12-14,13,Afternoon,Koyambedu,13.06439,80.19471,Fog,27.6,65.6,9.4,0.3,0.0,92,8.0,0,Coastal,0,1,0,62.0,0
2022-03-17,14,Afternoon,Kathipara,13.0121,80.21816,Clear,31.0,60.4,19.8,8.9,0.0,81,17.2,0,Flyover,1,0,0,75.1,1
2024-11-27,11,Afternoon,ECR,12.90029,80.25382,Clear,27.4,67.8,5.7,11.6,0.0,16,67.7,0,Industrial,0,0,0,14.1,0
2024-09-19,3,Early Morning,Anna Salai,13.06382,80.25899,Clear,28.1,61.5,11.9,11.5,0.0,45,48.8,0,Highway,0,0,0,48.7,0
2022-08-21,14,Afternoon,Kathipara,13.00566,80.21486,Clear,29.8,73.0,7.3,7.4,0.0,84,23.7,1,Flyover,0,0,0,58.2,0
2024-08-25,7,Night,Manali,13.1624,80.2543,Fog,31.2,90.8,17.6,0.5,0.0,33,51.0,1,Urban,1,1,0,49.8,0
2023-11-28,16,Night,Adyar,13.00745,80.25881,Clear,26.3,54.0,12.6,8.5,0.0,55,40.8,0,Flyover,0,0,0,37.6,0
2024-09-18,11,Afternoon,Koyambedu,13.06491,80.19726,Fog,25.5,66.6,14.6,0.6,0.0,83,22.8,0,Industrial,0,1,0,69.4,1
2023-10-14,23,Early Morning,Manali,13.16425,80.24873,Clear,28.7,56.6,13.9,13.3,0.0,30,55.4,1,Flyover,1,0,0,39.1,0
2022-03-17,4,Early Morning,Poonamallee,13.03783,80.1503,Clear,32.7,48.0,18.4,9.0,0.0,11,71.4,0,Highway,1,0,0,25.1,0
2022-11-13,2,Early Morning,Manali,13.16971,80.25196,Clear,31.4,63.7,9.2,8.4,0.0,18,66.2,1,Highway,1,1,0,38.4,0
2024-12-28,12,Afternoon,Koyambedu,13.07296,80.18918,Clear,24.3,63.5,6.2,14.0,0.0,50,46.4,1,Flyover,1,1,0,52.9,0
2022-07-05,13,Afternoon,Kathipara,13.00576,80.21826,Clear,28.3,48.0,5.0,12.3,0.0,83,19.5,0,Urban,1,0,0,68.4,0
2023-08-24,11,Afternoon,Koyambedu,13.0797,80.20358,Thunderstorm,27.2,66.1,23.3,0.6,36.5,100,5.0,0,Coastal,1,0,1,99.0,1
2024-08-02,20,Evening Peak,Adyar,13.01354,80.25228,Thunderstorm,26.3,76.3,13.6,1.1,56.0,100,5.3,0,Industrial,0,0,1,99.0,1
2023-09-05,20,Evening Peak,Velachery,13.00088,80.2107,Clear,24.3,70.6,3.9,10.1,0.0,80,19.6,0,Coastal,1,0,0,75.4,0
2023-08-28,0,Early Morning,Porur,13.03617,80.16534,Clear,38.9,62.0,14.3,8.5,0.0,12,61.9,0,Flyover,1,1,0,37.5,0
2024-10-14,9,Morning Peak,Ambattur,13.11622,80.15464,Clear,25.4,63.6,14.2,11.5,0.0,60,31.6,0,Flyover,1,0,0,53.2,0
2022-10-08,20,Evening Peak,Kathipara,13.01285,80.21233,Clear,31.4,54.3,9.9,11.8,0.0,100,5.0,1,Industrial,0,0,0,64.6,0
2023-08-28,10,Morning Peak,Tambaram,12.92259,80.13228,Thunderstorm,30.0,77.6,13.2,0.5,51.5,100,5.0,0,Arterial,0,0,1,99.0,0
2023-11-25,3,Early Morning,Manali,13.16264,80.25676,Clear,26.0,74.0,17.5,7.3,0.0,10,69.2,1,Flyover,1,0,0,29.2,0
2024-01-20,2,Early Morning,Ambattur,13.12412,80.15498,Clear,30.1,67.5,6.7,8.4,0.0,16,68.3,1,Coastal,1,1,0,36.9,0
2022-08-10,21,Night,GST Road,12.9705,80.20297,Fog,30.0,93.0,7.9,0.7,0.0,84,10.1,0,Industrial,0,0,0,59.3,0
2024-08-08,22,Night,Adyar,13.00532,80.24559,Clear,28.8,74.9,4.1,7.1,0.0,28,64.4,0,Arterial,1,0,0,55.6,0
2024-07-18,11,Afternoon,T Nagar,13.04055,80.23698,Clear,28.2,61.2,12.6,12.3,0.0,72,37.8,0,Flyover,0,0,0,54.7,0
2022-07-22,15,Night,ECR,12.90166,80.24792,Thunderstorm,25.8,93.3,30.7,1.4,21.3,9,73.8,0,Highway,1,0,1,72.3,0
2024-01-05,1,Early Morning,Velachery,12.99969,80.21767,Fog,30.4,93.2,16.8,1.0,0.0,24,69.2,0,Highway,1,0,0,52.7,0
2022-02-13,1,Early Morning,Ambattur,13.11426,80.1622,Clear,28.5,69.9,12.0,14.9,0.0,22,58.1,1,Industrial,0,1,0,26.7,0
2023-11-04,4,Early Morning,Ambattur,13.11699,80.14961,Clear,26.0,70.8,4.6,6.0,0.0,20,59.6,1,Arterial,1,0,0,34.4,0
2022-08-14,21,Night,Porur,13.04043,80.16675,Heavy Rain,28.2,66.1,6.6,0.5,33.7,56,38.0,1,Flyover,0,0,1,84.5,1
2024-07-07,11,Afternoon,Poonamallee,13.04336,80.15034,Fog,30.6,67.8,13.1,0.6,0.0,30,56.2,1,Flyover,1,1,0,45.5,0
2024-12-03,9,Morning Peak,Manali,13.16795,80.25705,Clear,33.8,57.8,3.9,6.3,0.0,65,23.5,0,Flyover,1,0,0,62.2,0
2022-06-15,10,Morning Peak,ECR,12.90608,80.2552,Heavy Rain,27.9,80.5,26.4,0.7,28.7,32,54.9,0,Coastal,1,0,1,99.0,1
2022-07-23,22,Night,Kathipara,13.00115,80.21322,Clear,28.6,51.5,10.1,11.9,0.0,59,35.7,1,Arterial,0,0,0,43.8,0
2024-03-27,13,Afternoon,Tambaram,12.91388,80.11936,Fog,23.2,83.3,8.7,0.5,0.0,88,10.9,0,Arterial,1,0,0,70.9,1
2022-06-24,2,Early Morning,Velachery,13.00999,80.21259,Heavy Rain,24.3,79.7,14.9,1.6,34.4,34,46.7,0,Highway,0,1,1,72.0,0
2024-05-16,23,Early Morning,Anna Salai,13.06394,80.2522,Clear,30.6,55.5,12.4,11.4,0.0,30,61.0,0,Arterial,0,0,0,31.4,0
2022-08-10,11,Afternoon,Porur,13.03998,80.15155,Fog,27.6,75.0,12.1,0.3,0.0,85,19.2,0,Industrial,1,0,0,61.0,0
2022-02-23,19,Evening Peak,Pallavaram,12.96352,80.15279,Clear,30.1,45.9,6.9,12.2,0.0,76,21.1,0,Urban,1,0,0,60.4,0
2023-01-07,4,Early Morning,ECR,12.90273,80.25192,Clear,27.5,47.8,11.5,6.6,0.0,16,68.5,1,Coastal,0,0,0,18.2,0
2024-01-28,9,Morning Peak,Tambaram,12.92084,80.12506,Fog,20.0,80.9,17.9,1.0,0.0,100,5.0,1,Arterial,0,0,0,71.2,0
2023-07-12,14,Afternoon,T Nagar,13.04325,80.24448,Thunderstorm,28.8,72.1,8.3,1.0,36.6,100,5.0,0,Flyover,1,0,1,99.0,1
2024-03-20,19,Evening Peak,Anna Salai,13.06166,80.24631,Heavy Rain,31.5,64.8,12.7,1.0,16.3,100,5.0,0,Urban,0,0,1,99.0,1
2022-09-22,12,Afternoon,Poonamallee,13.04589,80.16168,Clear,30.7,47.2,17.5,10.5,0.0,27,57.3,0,Highway,0,0,0,29.2,0
2022-06-09,10,Morning Peak,ECR,12.89124,80.25388,Thunderstorm,23.3,70.1,17.2,0.8,45.6,51,31.8,0,Urban,0,1,1,95.7,1
2024-01-12,2,Early Morning,Velachery,13.00849,80.21882,Clear,24.9,56.9,7.6,8.2,0.0,27,69.8,0,Urban,0,0,0,29.3,0
2022-06-06,16,Night,T Nagar,13.04304,80.2318,Heavy Rain,26.1,72.2,26.8,1.3,37.2,80,20.2,0,Flyover,1,0,1,99.0,1
2023-02-09,5,Night,ECR,12.90266,80.25031,Drizzle,32.0,76.2,12.1,7.0,0.2,17,68.1,0,Industrial,0,1,0,26.0,0
2023-10-24,20,Evening Peak,Koyambedu,13.06685,80.19345,Heavy Rain,26.7,70.6,13.2,0.6,23.3,100,5.0,0,Highway,0,0,1,99.0,1
2024-01-26,9,Morning Peak,Kathipara,13.01328,80.20589,Clear,31.4,56.5,12.4,14.8,0.0,100,6.8,0,Flyover,1,0,0,78.9,0
2023-01-21,10,Morning Peak,ECR,12.91168,80.24883,Clear,30.2,46.9,3.9,7.4,0.0,15,59.1,1,Urban,1,0,0,49.8,0
2022-12-20,1,Early Morning,GST Road,12.97487,80.19962,Clear,23.9,55.9,18.5,14.9,0.0,32,48.8,0,Coastal,0,0,0,39.8,0
2022-04-18,20,Evening Peak,T Nagar,13.04245,80.23465,Clear,31.4,61.7,9.0,9.0,0.0,100,5.0,0,Urban,1,0,0,82.2,0
2023-11-14,2,Early Morning,ECR,12.89835,80.25506,Clear,26.4,64.9,4.3,14.3,0.0,22,69.1,0,Flyover,1,0,0,28.7,0
2024-02-11,20,Evening Peak,Ambattur,13.11174,80.14985,Clear,32.1,66.1,19.0,7.2,0.0,81,15.5,1,Flyover,1,0,0,77.1,0
2024-11-07,11,Afternoon,Anna Salai,13.05524,80.26415,Light Rain,31.3,67.9,4.5,2.7,2.9,90,5.9,0,Highway,0,0,0,63.6,0
2024-11-05,17,Evening Peak,Porur,13.02753,80.16132,Clear,26.9,64.9,17.8,10.7,0.0,90,5.0,0,Industrial,0,0,0,52.7,0
2022-11-29,5,Night,Porur,13.03412,80.16555,Clear,31.9,46.3,8.6,11.6,0.0,39,41.3,0,Flyover,0,0,0,32.1,0
2023-08-07,23,Early Morning,Ambattur,13.11294,80.14132,Thunderstorm,25.2,88.3,19.1,0.9,32.4,39,47.6,0,Arterial,0,1,1,79.9,0
2024-08-03,9,Morning Peak,Ambattur,13.12354,80.16043,Light Rain,30.2,64.8,6.5,4.1,9.7,90,5.0,1,Flyover,0,0,1,99.0,0
2024-11-22,3,Early Morning,Adyar,13.007,80.25717,Heavy Rain,23.1,78.0,29.9,0.7,23.5,36,52.2,0,Highway,1,0,1,91.6,1
2022-02-24,13,Afternoon,Anna Salai,13.06083,80.25377,Clear,27.1,51.7,7.7,9.4,0.0,76,16.5,0,Highway,1,0,0,64.2,0
2022-10-27,4,Early Morning,Anna Salai,13.06423,80.25523,Light Rain,28.8,64.9,14.7,5.3,7.3,52,25.1,0,Coastal,1,1,0,68.2,1
2023-03-18,4,Early Morning,Poonamallee,13.05203,80.14293,Clear,23.4,52.1,4.2,11.5,0.0,8,71.7,1,Arterial,0,0,0,5.0,0
2024-07-25,2,Early Morning,Kathipara,13.00561,80.20495,Clear,30.4,61.1,13.4,10.5,0.0,50,44.7,0,Industrial,0,0,0,48.9,0
2024-05-29,0,Early Morning,ECR,12.90591,80.24705,Clear,33.7,60.7,8.5,11.1,0.0,3,80.0,0,Industrial,1,0,0,13.7,0
2024-11-05,17,Evening Peak,Anna Salai,13.06726,80.2553,Thunderstorm,32.1,94.3,12.6,0.9,45.4,100,5.0,0,Highway,0,0,1,99.0,1
2022-08-01,18,Evening Peak,Tambaram,12.9211,80.1333,Clear,26.4,64.3,16.9,7.2,0.0,88,12.7,0,Flyover,0,0,0,67.3,0
2022-10-04,2,Early Morning,Tambaram,12.92135,80.12913,Clear,30.2,53.8,2.8,10.1,0.0,15,72.6,0,Arterial,1,0,0,37.2,0
2023-09-28,16,Night,Velachery,13.00419,80.22615,Clear,27.9,50.7,8.4,10.9,0.0,32,47.4,0,Highway,1,0,0,35.1,0
2022-09-12,11,Afternoon,Velachery,13.00983,80.2145,Clear,33.0,71.8,9.0,12.7,0.0,63,19.2,0,Arterial,0,0,0,48.0,0
2024-11-29,8,Morning Peak,Ambattur,13.11536,80.15432,Heavy Rain,29.9,70.3,8.1,1.1,22.9,100,5.0,0,Urban,1,0,1,99.0,1
2024-06-28,11,Afternoon,Manali,13.17212,80.25787,Heavy Rain,27.9,94.9,13.2,1.8,20.6,70,22.2,0,Highway,0,0,1,82.3,1
2022-11-24,0,Early Morning,OMR IT Corridor,12.92944,80.21255,Clear,26.6,52.1,13.6,12.1,0.0,14,72.5,0,Urban,0,0,0,23.4,0
2022-11-11,21,Night,Manali,13.16568,80.25739,Clear,28.6,67.9,12.3,9.3,0.0,36,48.5,0,Industrial,0,0,0,27.8,0
2023-07-25,7,Night,Kathipara,13.01048,80.20561,Heavy Rain,29.3,87.1,26.1,0.8,25.5,100,5.0,0,Arterial,1,0,1,99.0,1
2022-09-09,4,Early Morning,Porur,13.03816,80.15848,Heavy Rain,27.2,94.9,29.3,0.8,31.4,46,51.5,0,Urban,1,0,1,99.0,1
2023-09-07,5,Night,Tambaram,12.9137,80.1211,Clear,29.3,51.7,19.7,12.3,0.0,40,48.1,0,Arterial,0,0,0,36.8,0
2024-01-10,17,Evening Peak,ECR,12.89867,80.25363,Drizzle,30.5,81.4,3.6,7.2,1.1,23,58.5,0,Urban,0,0,0,27.5,0
2024-09-07,16,Night,Velachery,13.00218,80.21414,Clear,35.2,64.3,10.1,13.4,0.0,30,61.3,1,Flyover,1,0,0,34.7,0
2023-01-08,4,Early Morning,Velachery,13.01996,80.22337,Clear,31.6,69.9,11.3,13.8,0.0,23,57.3,1,Urban,0,0,0,24.2,0
2023-04-07,11,Afternoon,Poonamallee,13.04292,80.15391,Clear,32.0,61.5,4.3,13.6,0.0,45,43.5,0,Urban,1,0,0,43.6,0
2022-12-12,18,Evening Peak,ECR,12.89878,80.25253,Light Rain,32.3,81.2,17.2,4.6,7.5,46,40.1,0,Industrial,0,1,0,55.7,0
2022-06-16,1,Early Morning,T Nagar,13.04534,80.23129,Clear,29.0,63.5,2.5,8.4,0.0,36,56.1,0,Flyover,1,0,0,52.4,0
2023-09-11,15,Night,GST Road,12.96375,80.19626,Clear,31.8,53.9,3.3,12.2,0.0,50,39.6,0,Highway,0,0,0,43.0,0
2024-08-09,6,Night,Koyambedu,13.07029,80.18812,Drizzle,27.4,94.1,4.4,5.3,1.5,56,38.3,0,Urban,1,0,0,63.7,0
2023-05-11,14,Afternoon,Kathipara,13.0149,80.21467,Clear,26.1,47.9,7.2,8.2,0.0,86,10.8,0,Coastal,1,0,0,65.5,0
2022-11-24,10,Morning Peak,Pallavaram,12.96965,80.15094,Fog,28.3,78.0,11.0,0.5,0.0,100,5.0,0,Urban,0,0,0,64.6,0
2024-03-16,16,Night,Manali,13.17187,80.2571,Clear,24.5,55.6,2.9,7.9,0.0,39,48.9,1,Coastal,1,0,0,46.3,0
2024-08-21,9,Morning Peak,Poonamallee,13.05049,80.15072,Heavy Rain,27.7,74.1,6.4,0.7,14.0,63,27.3,0,Highway,1,0,1,90.1,1
2024-10-29,14,Afternoon,Ambattur,13.11275,80.15591,Fog,30.9,81.8,13.0,0.9,0.0,70,30.3,0,Arterial,1,0,0,62.9,0
2023-11-26,17,Evening Peak,Koyambedu,13.06847,80.1926,Clear,24.5,46.4,4.5,7.8,0.0,100,5.0,1,Urban,1,0,0,85.3,1
2024-11-21,4,Early Morning,Koyambedu,13.06197,80.19614,Clear,27.8,56.8,13.1,8.9,0.0,35,52.4,0,Urban,1,0,0,51.4,0
2024-11-09,17,Evening Peak,Manali,13.16401,80.26435,Clear,29.2,65.2,19.6,8.7,0.0,90,6.2,1,Industrial,0,1,0,55.7,0
2022-02-24,19,Evening Peak,Manali,13.17387,80.2652,Clear,25.4,74.2,12.4,11.9,0.0,67,24.3,0,Arterial,1,0,0,59.0,0
2022-12-16,16,Night,T Nagar,13.03508,80.22951,Clear,23.9,52.3,12.3,13.0,0.0,46,39.4,0,Flyover,0,0,0,38.6,0
2023-10-05,13,Afternoon,OMR IT Corridor,12.92907,80.22885,Thunderstorm,31.8,81.4,19.1,0.5,40.1,92,11.3,0,Flyover,1,0,1,99.0,1
2024-09-06,16,Night,Velachery,13.00655,80.22427,Light Rain,26.5,87.0,15.0,2.7,9.2,37,52.3,0,Flyover,1,0,0,59.4,0
2024-09-18,6,Night,GST Road,12.97406,80.20135,Light Rain,30.3,94.4,15.9,3.2,9.5,82,11.2,0,Flyover,0,0,1,80.8,1
2023-12-16,17,Evening Peak,Pallavaram,12.96438,80.14712,Clear,27.1,61.3,18.1,12.5,0.0,72,28.3,1,Coastal,1,1,0,69.2,0
2023-08-18,1,Early Morning,Adyar,13.00385,80.25294,Clear,31.8,72.7,13.8,6.7,0.0,26,56.4,0,Flyover,0,0,0,34.0,0
